報告書_id,文_id,動詞_id,名詞,助詞,動詞
112000490,0,4,潤滑油および対象設備,は,ある
112000490,0,4,継続使用可能な状態,に,ある
112000490,1,5,フェログラフィーおよびSOAP-Tの結果,から,判断する
112000490,1,5,総合的,に,判断する
112000490,1,9,正常な状態,に,ある
112000490,2,5,摩耗粒子,を,定量化する
112000490,2,7,Is値,は,用いる
112000490,2,7,異常摩耗の早期発見パラメータ,の,用いる
112000490,2,7,ため,に,用いる
112000490,3,3,今回のIs値はのマイナス乗,と,低い
112000490,4,5,【定性分析：摩耗粒子および分析結果,から,観察する
112000490,6,4,【SOAP-T】検出された金属元素,から,推定する
112000490,6,4,発生箇所,を,推定する
112000490,7,5,計数汚染度、重量汚染度,は,良好
112000490,8,8,水分、酸価、IR、RBOTのデータ,は,良好
112000490,9,5,RBOT,が,比較する
112000490,9,5,minと新油値のmin,に,比較する
112000490,10,6,減少傾向,から,到達する
112000490,10,6,限界値,に,到達する
112000490,10,9,別紙図RBOTの減少傾向,に,示す
112000490,10,11,の,は,推定する
112000490,10,11,よう,に,推定する
112000490,10,11,年月,と,推定する
112000490,11,3,残りの継続使用期間,は,予測する
112000490,13,7,特性低下目的：油の分析結果,から,確認する
112000490,13,7,や劣化傾向ならびに添加剤の消耗程度、残存寿命,など,確認する
112000490,14,10,試験JISK汚染目的：油の分析結果,から,確認する
112000490,14,10,異物混入の有無,を,確認する
112000490,15,2,水分JISK計数汚染度JISB重量汚染度JISB光学顕微鏡観察摩耗目的：油中の摩耗粒子,を,分析する
112000490,15,9,事,により,解析する
112000490,15,9,摩耗劣化の程度、余寿命,など,解析する
112000490,16,11,当社推奨の管理限界値±％以内,に,留まる
112000490,17,3,新油値の.mgKOH/g以内,に,ある
112000490,17,6,問題,は,無い
112000490,17,7,良好酸価.mgKOH/g,は,判断する
112000490,17,7,こと,から,判断する
112000490,18,5,数値min,は,留まる
112000490,18,5,当社推奨の管理限界値min以上,に,留まる
112000490,18,8,現時点での使用,は,可能
112000490,18,9,可能,と,判断する
112000490,19,3,良好水分値ppm,は,留まる
112000490,19,3,当社推奨の管理限界値以内,に,留まる
112000490,20,4,良好計数汚染度,は,ある
112000490,20,4,NAS級と当社推奨の管理限界値NAS級以内,に,ある
112000490,21,4,良好重量汚染度,は,ある
112000490,21,4,.mg/mlと当社推奨の管理限界値mg/ml以内,に,ある
112000490,22,4,良好光学顕微鏡写真,は,少ない
112000490,22,4,捕捉された汚染物の量,は,少ない
112000490,22,6,スラッジ,は,確認する
112000490,23,8,異常摩耗の早期発見パラメータであるIs値がのマイナス乗,と,ある
112000490,23,8,良好の範囲,に,ある
112000490,23,11,潤滑状態,は,正常
112000490,23,12,こと,から,判断する
112000490,23,12,正常,と,判断する
112000490,24,1,今回,は,実施する
112000490,25,3,摩耗,により,発生する
112000490,25,9,外部,から,混入する
112000490,25,13,ナトリウム、モリブデン,が,検出する
112000490,25,16,良好,と,判断する
112000492,0,4,グリースおよび対象設備,は,ある
112000492,0,4,継続使用可能な状態,に,ある
112000492,1,5,フェログラフィーおよびSOAP-Tの結果,から,判断する
112000492,1,5,総合的,に,判断する
112000492,1,9,正常な状態,に,ある
112000492,2,5,【定性分析：摩耗粒子および分析結果,から,観察する
112000492,4,4,【SOAP-T】検出された金属元素,から,推定する
112000492,4,4,発生箇所,を,推定する
112000492,5,15,鉄、鉛、ニッケル、錫・ギヤ等リン、カルシウム、アルミニウム、ナトリウム、モリブデン・添加剤、増ちょう剤、外部混入異物グリースのちょう度、滴点、酸価、IRのデータ,は,良好
112000492,7,5,特性低下目的：グリースの分析結果,から,確認する
112000492,7,5,物理的性状や劣化傾向,など,確認する
112000492,8,2,酸価JISK赤外線吸収スペクトルJISKちょう度JISK滴点JISK摩耗目的：グリース中の摩耗粒子,を,分析する
112000492,8,9,事,により,解析する
112000492,8,9,摩耗劣化の程度、余寿命,など,解析する
112000492,9,3,新油値の.mgKOH/g,に,比較する
112000492,9,4,良好酸価mgKOH/g,は,高い
112000492,9,10,有機物・有機化合物試験の結果,で,示す
112000492,9,10,油劣化の兆候,を,示す
112000492,9,13,カルボン酸の吸収,が,見る
112000492,9,16,見られないこと,から,無い
112000492,9,16,問題,は,無い
112000492,10,3,良好ちょう度値,は,留まる
112000492,10,3,当社推奨の以内,に,留まる
112000492,11,2,油値の,に,比較する
112000492,11,5,変化,は,ない
112000492,11,8,ないこと,から,無い
112000492,11,8,問題,は,無い
112000492,12,3,潤滑状態,が,正常
112000492,12,5,正常な場合,に,発生する
112000492,12,9,摩耗粒子,が,観察する
112000492,13,1,今回,は,実施する
112000492,14,3,摩耗,により,発生する
112000492,14,16,リン、カルシウム、アルミニウム、ナトリウム、モリブデン,が,検出する
112000492,14,19,良好,と,判断する
112001768,0,3,対象設備,は,ある
112001768,0,3,継続使用可能な状態,に,ある
112001768,1,4,潤滑油,は,低下する
112001768,1,4,粘度,が,低下する
112001768,1,8,今後,も,傾向監視する
112001768,1,8,摩耗の進行,を,傾向監視する
112001768,1,12,以下の対策,を,推奨する
112001768,2,3,低下,が,確認する
112001768,2,8,潤滑部,で,懸念する
112001768,2,8,摩耗の発生,が,懸念する
112001768,3,3,これらの予防処置,として,推奨する
112001768,3,3,更油,を,推奨する
112001768,4,2,油槽内の清掃潤滑油,が,汚染する
112001768,4,5,こと,から,汚染する
112001768,4,5,油槽内,は,汚染する
112001768,5,6,油槽内,を,清掃する
112001768,5,6,油,など,清掃する
112001768,5,9,油,を,充填する
112001768,5,11,こと,を,推奨する
112001768,6,-1,可能,と,可能
112001768,6,3,定期的な分析定期的,に,実施する
112001768,6,3,分析,を,実施する
112001768,6,10,データの変化,から,発見する
112001768,6,10,異常の兆候,を,発見する
112001768,6,10,早期,に,発見する
112001768,6,12,こと,により,可能
112001768,6,12,こと,が,可能
112001768,7,6,最低,で,実施する
112001768,7,6,回分析,を,実施する
112001768,7,10,分析データの変化,を,確認する
112001768,7,12,分析周期,を,検討する
112001768,7,14,こと,により,推奨する
112001768,7,14,こと,を,推奨する
