報告書_id,文_id,動詞_id,名詞,助詞,動詞
112000490,0,4,潤滑油,は,ある
112000490,0,4,対象設備,は,ある
112000490,0,4,継続使用可能な状態,に,ある
112000490,1,9,正常な状態,に,ある
112000490,3,3,今回のIs値はのマイナス乗,と,低下する
112000490,7,5,計数汚染度,は,良好
112000490,7,5,重量汚染度,は,良好
112000490,8,8,水分,は,良好
112000490,8,8,酸価,は,良好
112000490,8,8,IR,は,良好
112000490,8,8,RBOTのデータ,は,良好
112000490,10,6,限界値,に,到達する
112000490,17,3,新油値の.mgKOH/g以内,に,ある
112000490,20,4,良好計数汚染度,は,ある
112000490,20,4,NAS級,に,ある
112000490,20,4,当社推奨の管理限界値NAS級以内,に,ある
112000490,21,4,良好重量汚染度,は,ある
112000490,23,8,異常摩耗の早期発見パラメータであるIs値がのマイナス乗,と,ある
112000490,23,8,良好の範囲,に,ある
112000490,23,11,潤滑状態,は,良好
112000490,25,3,摩耗,で,発生する
112000490,25,9,外部,から,混入する
112000490,25,13,ナトリウム,が,検出する
112000490,25,13,モリブデン,が,検出する
112000492,0,4,グリース,は,ある
112000492,0,4,対象設備,は,ある
112000492,0,4,継続使用可能な状態,に,ある
112000492,1,9,正常な状態,に,ある
112000492,5,15,鉄,は,良好
112000492,5,15,鉛,は,良好
112000492,5,15,ニッケル,は,良好
112000492,5,15,錫・ギヤリン,は,良好
112000492,5,15,カルシウム,は,良好
112000492,5,15,アルミニウム,は,良好
112000492,5,15,ナトリウム,は,良好
112000492,5,15,モリブデン・添加剤,は,良好
112000492,5,15,増ちょう剤,は,良好
112000492,5,15,外部混入異物グリースのちょう度,は,良好
112000492,5,15,滴点,は,良好
112000492,5,15,酸価,は,良好
112000492,5,15,IRのデータ,は,良好
112000492,9,13,カルボン酸の吸収,が,検出する
112000492,10,3,良好ちょう度値,は,留まる
112000492,12,3,潤滑状態,が,良好
112000492,12,9,摩耗粒子,が,検出する
112000492,14,3,摩耗,で,発生する
112000492,14,16,リン,が,検出する
112000492,14,16,カルシウム,が,検出する
112000492,14,16,アルミニウム,が,検出する
112000492,14,16,ナトリウム,が,検出する
112000492,14,16,モリブデン,が,検出する
112001768,0,3,対象設備,は,ある
112001768,0,3,継続使用可能な状態,に,ある
112001768,1,4,潤滑油,は,低下する
112001768,1,4,粘度,が,低下する
112001768,2,8,潤滑部,で,懸念する
112001768,2,8,摩耗の発生,が,懸念する
112001768,4,2,油槽内の清掃潤滑油,が,汚染する
112001768,4,5,油槽内,は,汚染する
112001768,5,6,油槽内,を,清掃する
112001768,5,6,油,,清掃する
112001768,5,9,油,を,充填する
112001768,6,10,データの変化,から,発見する
112001768,6,10,異常の兆候,を,発見する
112001768,8,10,厳しい状態,に,ある
112001768,10,3,今回のIs値,は,高い
112001768,13,2,高温,と,なる
112001768,15,5,潤滑油,が,押し込める
112001768,15,5,ギヤ歯面,に,押し込める
112001768,15,5,軌道面,に,押し込める
