,,Similarity
  フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,0.920840666318
  異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,0.906003143048
  スラッジの増加    ある,  スラッジ    増加する,0.898936753472
  摩擦熱    高い,  高い摩擦熱    発生する,0.857184078066
  摩耗の進行    ある,    摩耗の進行  進行する,0.851178904773
  摩耗    進行する,  摩耗の進行    ある,0.851178904773
  摩耗の進行    ある,  摩耗の進行    進行する,0.851178904773
銅がppmアンチモン    混入する,ppm アンチモン  銅 検出する,0.846487731259
銅がppmアンチモン    混入する,ppm 銅  アンチモン 検出する,0.846487731259
  μmサイズの摩耗粒子    検出する,  発生したμmサイズの摩耗粒子    検出する,0.835416869011
銅がppm錫    混入する,ppm 錫  銅 検出する,0.832175178899
銅がppm鉄    混入する,ppm 銅  鉄 検出する,0.822866148629
  潤滑状態    厳しい,  厳しい潤滑状態    発生する,0.822454725158
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗良好,0.810715624053
   摩耗粒子の形態観察   発生する,     摩耗粒子の形態観察 検出する,0.809857033592
  軸受メタルの摩耗    進行する,  軸受メタル    摩耗する,0.794041403998
      参考値する,   参考値   考える,0.78565271295
      参考値考える,      参考値する,0.78565271295
軸受メタルの摩耗の進行      懸念する,  軸受メタルの摩耗    進行する,0.78172018019
  これらの摩耗粒子    検出する,      これらの摩耗粒子なる,0.776953281262
      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.768067915657
 ppm錫    混入する,ppm 錫    検出する,0.766407817853
  検出されたケイ素    考える,  ケイ素    検出する,0.762253701899
  全酸価 粘度  良好,  全酸価 ．粘度  良好,0.757661715806
  更油    高い,   更油   する,0.747378156544
