,,Similarity
スラッジの増加  ある,スラッジ  増加する,0.956920924604
摩擦熱  高い,高い摩擦熱  発生する,0.945143618552
異常摩耗の早期発見パラメータであるフェログラフィーのIs値  良好の範囲  ある,良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  ある,0.893803523472
摩耗  進行する,摩耗の進行  ある,0.857142857143
IR  新油のスペクトル  一致する,新油のスペクトル  一致する,0.85041595989
金属接触  検出する,金属接触  発生する,0.837923475607
検出されたケイ素  考える,ケイ素  検出する,0.832912828271
正常な潤滑状態  発生する,正常な潤滑状態  ある,0.827804566206
フレーキング  発生する,フレーキング  進行する,0.821828677136
酸価のデータ  水分  良好,全酸価のデータ  水分  良好,0.815495601926
摩耗の進行  ある,摩耗の進行  進行する,0.8
RBOTのデータ  粘度  IR  良好,RBOTのデータ  粘度  良好,0.78069723084
IRのデータ  水分  良好,IRのデータ  良好,0.77375181713
IRのデータ  粘度  良好,IRのデータ  良好,0.77375181713
軸受メタルの摩耗の進行  懸念する,軸受メタルの摩耗  進行する,0.765877069755
精密フィルタ  設置する,精密なフィルタの設置  設備  ある,0.760232895522
異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗  高い,異常摩耗の早期発見パラメータであるIs値がの乗  高い,0.754741122894
全酸価  粘度  良好,全酸価  良好,0.739241257297
全酸価  水分  良好,全酸価  良好,0.739241257297
ppm  錫  混入する,銅が  ppm  錫  混入する,0.7380014108
当社推奨の管理限界値  上昇する,当社推奨の管理限界値  粘度  上昇する,0.736320383943
鉄錆  混入する,鉄錆  検出する,0.727272727273
砂  検出する,混入した砂  検出する,0.720039157162
摩耗粒子  検出する,発生した摩耗粒子  検出する,0.714285714286
全酸価  粘度  良好,全酸価  粘度  IR  良好,0.707567447834
全酸価  水分  良好,全酸価のデータ  水分  良好,0.707567447834
NAS級  なる,NAS級  高い,0.698970004336
RBOTのデータ  粘度  良好,RBOTのデータ  水分  良好,0.698900267376
銅が  ppm  鉄  混入する,銅が  ppm  錫  混入する,0.694291405188
NAS級  当社推奨の管理限界値内  計数汚染度  ある,NAS級  当社推奨の管理限界値内  重量汚染度  ある,0.689592351699
異種油の混入  異なる,異種油の混入  考える,0.687625382839
金属接触  厳しい,金属接触  検出する,0.674051571622
金属接触  厳しい,金属接触  発生する,0.674051571622
良好の範囲  異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗  ある,異常摩耗の早期発見パラメータであるフェログラフィーのIs値  良好の範囲  ある,0.667536335566
値  高い,高い値  なる,0.666666666667
