,,Similarity
さ 検出する,検出された金属 考える,2.0
さ 検出する,検出された銅 潤滑油 イオン化する,2.0
さ 検出する,潤滑状態 検出された金属粒子 なる,2.0
さ 検出する,潤滑油中 検出された金属 厳しい,2.0
さ 検出する,摩耗 検出された金属 進行する,2.0
さ 検出する,外部 検出された金属 混入する,2.0
さ 検出する,検出された銅 軸受摩耗 発生する,2.0
さ 検出する,機械部品 検出されたリン ある,2.0
さ 検出する,機械部品 検出された亜鉛 ある,2.0
さ 検出する,継手部 検出された銅 外れる,2.0
さ 検出する,焼付き 検出された金属 起こす,2.0
さ 検出する,検出された銅 考える,2.0
さ 検出する,切削摩耗凝着摩耗 検出された金属 混在する,2.0
さ 検出する,異物 検出された金属 厳しい,2.0
さ 検出する,検出された鉄 発生する,2.0
さ 検出する,ギヤ歯面 検出された鉄 摩耗する,2.0
油 同等,同等 新油の汚染度 ある,1.83572795004
油 劣化 劣化する,腐食摩耗 金属表面 劣化した油 発生する,1.72105705435
油 劣化する,更油 劣化の進行状況 ある,1.72105705435
油 劣化する,油の劣化 発生する,1.72105705435
油 劣化 劣化する,油の劣化 進行する,1.72105705435
油 劣化 劣化する,劣化 油 進行する,1.72105705435
油 劣化 劣化する,油の劣化 発生する,1.72105705435
油 劣化する,油の劣化 懸念する,1.72105705435
油 劣化 劣化する,油の劣化 懸念する,1.72105705435
油 劣化する,油の劣化 潤滑油 進行する,1.72105705435
油 劣化 劣化する,更油 劣化の進行状況 ある,1.72105705435
油 劣化する,劣化 油 進行する,1.72105705435
油 劣化する,腐食摩耗 金属表面 劣化した油 発生する,1.72105705435
油 劣化 劣化する,油の劣化 潤滑油 進行する,1.72105705435
油 劣化する,油の劣化 進行する,1.72105705435
摩耗のさ 増大する,振動の増大 進行する,1.64914987284
軸受のさ 計算する,計算したメタルの仮定 軸受 正しい,1.63366149817
軸受のさ 計算する,計算したメタルの仮定 軸受 粗い,1.63366149817
軸受 破損する,破損した原因 考える,1.62394085129
潤滑油 劣化する,3．潤滑油の劣化 発生する,1.56379141603
潤滑油 劣化する,潤滑油の劣化 ある,1.56379141603
潤滑油 劣化する,摩耗 潤滑油の劣化 汚染物 進行する,1.56379141603
潤滑油 劣化する,潤滑油の劣化 定期的な分析銅 進行する,1.56379141603
潤滑油 劣化する,劣化 潤滑油 進行する,1.56379141603
潤滑油 劣化する,油中の汚染度 潤滑油の劣化 高い,1.56379141603
潤滑油 劣化する,潤滑油の劣化 加水分解 進行する,1.56379141603
潤滑油 劣化する,潤滑油の劣化 亜鉛 進行する,1.56379141603
潤滑油 劣化する,油の劣化 潤滑油 進行する,1.56379141603
潤滑油 劣化する,潤滑油の劣化 圧縮熱 進行する,1.56379141603
潤滑油 劣化する,潤滑油の劣化 基油自身重合反応 進行する,1.56379141603
汚染度 増加する,今後の汚染度の増加 伴う,1.53724357368
汚染度 増加する,汚染度の増加 伴う,1.53724357368
水分 増加する,増加した要因 水分の影響 考える,1.53724357368
汚染度 増加する,汚染度 濃度の増加 高い,1.53724357368
濃度 計算する,計算した軸受メタルの仮定 濃度 軸受メタル 出る,1.52183519712
水分 油 同等,同等の精度 水分 得る,1.50540731024
添加剤 反応する,添加剤の反応 発生する,1.50540731024
添加剤 反応する,燃焼ガス オイルの添加剤との反応 通過する,1.50540731024
添加剤 反応する,エンジンオイルの添加剤との反応 発生する,1.50540731024
添加剤 反応する,摩擦熱 エンジンオイルの添加剤との反応 高い,1.50540731024
