報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象,レコード_id
109000230,1,6,均衡する, , ,油槽内などでの沈降, , , , ,油槽内などでの沈降 均衡する,20
109000230,1,11,なる, , , , , , ,油中の濃度,濃度 なる,20
109000230,1,11,なる, , , , , , ,平衡状態,平衡状態 なる,20
109000230,1,14,崩れる, , ,バランス, , , , ,発生 油中の濃度 崩れる,20
109000230,2,5,崩れる, , ,発生, , , , ,油中の濃度 なる,20
109000230,2,5,崩れる, , ,減少の均衡, , , , ,減少の均衡 油中の濃度 崩れる,20
109000230,2,14,低下する, , , , , , ,これ,値 低下する,20
109000230,2,17,低下する, , ,発生量, , , , ,発生量 低下する,20
109000230,2,20,大きい, , ,減少量, , , , ,減少量 油槽内などでの沈降 大きい,20
109000230,2,27,良好, , ,汚染状態, , , , ,汚染状態 良好,20
109000230,2,27,良好, , ,潤滑状態, , , , ,潤滑状態 良好,20
109000230,3,3,低下する, , ,油中の粒子, , , , ,油中の粒子 低下する,21
109000230,3,7,設置する, , , , ,フィルタ類, , ,フィルタ類 設置する,21
109000230,3,10,考える,減少, , , , , , ,減少 考える,21
109000230,3,13,低下する, , ,油中の摩耗粒子, , , , ,油中の粒子 低下する,21
109000230,3,16,発生する, , ,摩耗粒子, , , , ,摩耗粒子 考える,21
109000230,3,19,ある, , ,油槽内部での沈降, , , , ,油槽内部での沈降 減少 ある,21
109000230,3,21,考える, , , , , ,設備, ,設備 ある,21
109000230,4,9,ある, , , , ,安定した状態, , ,安定した状態 ある,22
109000230,5,20,ある, , , , ,良好の範囲, ,ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗,良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 ある,23
109000230,6,5,ある, , , , ,良好の範囲, , ,良好な範囲 ある,23
109000349,1,13,受ける, , ,沈降の影響, , , , ,沈降の影響 よる,59
109000349,1,16,出る, , , ,濃度, , , ,濃度 なる,59
109000349,3,5,なる, , ,今回の採油, , , ,濃度,今回の濃度 計算する,59
109000349,3,15,ある, , , , ,行われた採油, , ,採油 ある,59
109000349,3,15,ある, , , , ,良好の範囲, , ,良好な範囲 ある,59
109000349,4,4,良好, , , , ,機器の潤滑状態, , ,行われた採油 機器の潤滑状態 良好,59
109000350,1,13,受ける, , ,沈降の影響, , , , ,沈降の影響 よる,60
109000350,1,16,出る, , , ,濃度, , , ,濃度 なる,60
109000350,3,8,到達する, , , , ,当社推奨の管理限界値, , ,当社推奨の管理限界値 上昇する,61
109000350,4,6,高い, , , , , , ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い,61
109000350,4,11,混入する, ,外部, , , ,摩耗粒子, ,外部 混入する,61
109000350,4,11,混入する, ,外部, , , ,フィルタ表面の異物観察, ,フィルタ表面の異物観察 当社推奨の管理限界値 なる,61
109000350,4,16,検出する, , ,鉄錆, , , , ,鉄錆 多い,61
109000350,4,16,検出する, , ,砂, , , , ,砂 検出する,61
109000350,5,5,検出する, , ,銅, , , , ,銅 考える,62
109000350,5,8,高い, , ,汚染度, , , , ,銅 検出する,62
109000350,5,16,考える, , , , , , ,外部混入異物の影響,外部混入異物 考える,62
109000350,6,10,残留する, , , ,排油口配管内部, , , ,排油口配管内部 残留する,62
109000350,6,12,検出する,残留し, ,いた汚染物, , , , ,汚染物 残留する,62
109000350,6,15,考える, , ,外部混入異物, , , , ,外部混入異物 噛む,62
109000350,6,21,なる, , ,濃度, , , , ,油中の濃度 なる,62
109000350,6,23,かかわる, ,箇所, , , , , ,汚染 かかわる,62
109000350,6,26,発生する, , , ,正常な潤滑状態下, , , ,正常な潤滑状態下 発生する,62
109000350,6,34,ある, , , , ,対象設備の潤滑状態, , ,いた汚染物 軸受の潤滑状態 ある,62
109000350,6,34,ある, , , , ,正常な状態, , ,いた汚染物 正常な状態 ある,62
109000350,7,4,考える,使用した箇所, , , , , , ,箇所 ある,63
109000350,7,12,考える,他の部位,使用し, , , , , ,他の部位 使用し 考える,63
109000350,7,12,考える,他の部位,いないこと, , , , , ,他の部位 使用し 考える,63
109000350,9,10,ある, , , , ,良好の範囲, , ,良好な範囲 ある,64
109000352,1,13,受ける, , ,沈降の影響, , , , ,沈降の影響 よる,65
109000352,1,16,出る, , , ,濃度, , , ,濃度 なる,65
109000352,3,8,上昇する, , ,当社推奨の管理限界値, , , , ,当社推奨の管理限界値 発生する,66
