報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象,レコード_id
109000576,1,6,均衡する, , ,油槽内などでの沈降, , , , ,油槽内などでの沈降 均衡する,127
109000576,1,11,なる, , , , , , ,油中の濃度,濃度 なる,127
109000576,1,11,なる, , , , , , ,平衡状態,平衡状態 なる,127
109000576,1,14,崩れる, , ,バランス, , , , ,発生 油中の濃度 崩れる,127
109000576,2,5,崩れる, , ,発生, , , , ,油中の濃度 なる,127
109000576,2,5,崩れる, , ,減少の均衡, , , , ,減少の均衡 油中の濃度 崩れる,127
109000576,2,14,低下する, , , , , , ,これ,値 低下する,127
109000576,2,17,低下する, , ,発生量, , , , ,発生量 低下する,127
109000576,2,20,大きい, , ,減少量, , , , ,減少量 油槽内などでの沈降 大きい,127
109000576,2,27,良好, , ,汚染状態, , , , ,汚染状態 良好,127
109000576,2,27,良好, , ,潤滑状態, , , , ,潤滑状態 良好,127
109000576,3,3,低下する, , ,油中の粒子, , , , ,油中の粒子 低下する,128
109000576,3,7,設置する, , , , ,フィルタ類, , ,フィルタ類 設置する,128
109000576,3,10,考える,減少, , , , , , ,減少 考える,128
109000576,3,13,低下する, , ,油中の摩耗粒子, , , , ,油中の粒子 低下する,128
109000576,3,16,発生する, , ,摩耗粒子, , , , ,摩耗粒子 考える,128
109000576,3,19,ある, , ,油槽内部での沈降, , , , ,油槽内部での沈降 減少 ある,128
109000576,3,21,考える, , , , , ,設備, ,設備 ある,128
109000576,4,9,ある, , , , ,安定した状態, , ,安定した状態 ある,129
109000576,5,17,ある, , , , ,良好の範囲, ,ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗,良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 ある,130
109000576,6,5,ある, , , , ,良好の範囲, , ,良好な範囲 ある,130
109000658,1,18,ある, , , , ,良好の範囲, ,ないこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗,良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 ある,236
109000658,1,28,ある, , , , ,良好の範囲, , ,良好な範囲 ある,236
109000682,3,5,ある, , ,その他のデータ, ,良好の範囲, , ,その他のデータ 良好の範囲 ある,310
109001058,0,4,厳しい, , ,金属接触, , , , ,金属接触 なる,443
109001058,0,10,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,443
