.mgKOH/g 上昇する
.~.μmの範囲 ある
.μm以下の銅系粒子 油中 存在する
D-SOAPの濃度 赤錆 増加する
EMBEDExcel.Sheet.重量汚染度 ある
IR 良好
IRのデータ 対象設備 ある
IRのデータ 新油値の.mgKOH/g以下 .mgKOH/g ある
IRのデータ 潤滑油 ある
Is値 乗る
Is値 軸受 ある
Is値 鉄錆 高い
Is値 高い
L 計算する
NAS級 NAS級 増加する
NAS級 上回る
NAS級 今回の計数汚染度 増加する
NAS級以上 到達する
RBOT ある
RBOTのデータ 潤滑油 ある
RBOTのデータ 潤滑状態異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い
RBOT値 切る
VGの規格値内 砂 軸受寿命の指標 する
cm四方のサイコロ.個分 相当する
mサイズ 厳しい
mサイズ 多い
ppm カルシウム 検出する
ppm 鉄 混入する
ppm 高い
~μmサイズの粒子 ある
~μm前後の凝着摩耗粒子 検出する
μmのフィルタシステム フィルタ性能の低下本設備の油系統 設置する
μmサイズのシビア粒子 検出する
μmサイズの疲労摩耗粒子 観察された摩耗粒子の中 検出する
μm以下の粒子 多い
【定性分析：摩耗粒子のフェログラフィー 検出する
いた原因の検討結果潤滑油 油 低下する
いた異物 鉄錆 採取する
うろこ状 はがれる
これらの金属 潤滑系統内 光明丹であること 溶出する
すす 加える
それぞれの潤滑油 試料油 混合する
の現象 起こる
ものの高圧・高温の箇所 フェログラフィーのIs値 潤滑部 ある
アルミニウム 検出する
アルミニウム 考える
アルミニウム 良好
オイルリングの主成分である銅 摩耗粒子診断異常摩耗の早期発見パラメータであるIs値がの乗 高い
カルシウム ある
カルシウム 含む
カルシウム化合物 噛む
カルシウム化合物 高い
カルボン酸の吸収 検出する
ガイドメタル 発生する
ギヤ 至る
ギヤの摩耗 進行する
ギヤ歯面間の遊びであるバックラッシ 増大する
クランクメタル 与える
クロム 検出する
クロム 良好
ケイ素 良好
コンタミ μmのフィルタシステム 通過する
コーンディスク表面 深い
サイズの摩耗粒子 検出する
サーボシンリンダー摺動面 噛む
シビア粒子 発生する
シビア粒子繰返し応力 摩耗 受ける
シビア粒子繰返し応力 異物 受ける
ストレーナの目詰まり 発生する
スラストメタル台金部の鉄系材料の部分の箇所 動体スラストランナー固定部 軸 発生する
スラスト軸受 深い
スラスト軸受 至る
スラッジ 無害
スラッジ 発生する
ダフニースーパーギヤ 含む
ダフニータービンオイルの新油データとの整合 ある
トラニオンジャーナル 発生する
ドレン口であること 観察された外部混入異物 考える
ナトリウム 良好
ナトリウム・外部混入異物水分 良好
ナトリウム・外部混入異物．水分 良好
ニッケル 汚染する
バックラッシ 増加する
バックラッシ 摩耗 到達する
バックラッシ増加量 計算する
バルブ類の動作障害 前 ある
バルブ類の動作障害の原因 なる
ピストンリング カルシウム化合物 高い濃度 検出する
フィルタ性能 低下する
フィルタ表面の異物観察 フレッティング 発生する
フィルタ表面の異物観察 検出する
フェログラフィーのIs値 ある
フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 油の添加剤成分 含む
フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 高い範囲 ある
フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗領域 ある
フリクションポリマ 高温状態 なる
フレッティング摩耗 発生する
フレッティング粒子 検出する
フレッティング粒子 発生する
フレーキング 発生する
ボールの軌道面・ギヤ歯面の箇所 発生する
ボールネジ軌道面 噛む
マイルド摩耗粒子 厳しい
マグネシウム 検出する
メタル 求めた摩耗体積 大きい
メタルのさ 濃度 メタル する
メタルの主成分である錫 増加する
メタルの主成分である錫 検出する
メタルの主成分である錫 軸受寿命の指標 ある
モリブデン・添加剤カルシウム 銅 高い
リン 添加剤成分 高い
リン 鉄 混入する
リン・添加剤カルシウム 良好
リン系の極圧添加剤の効果 発生する
・シビア粒子軸受摺動部 接触する
・汚染度計数汚染度 良好
・異常摩耗の早期発見パラメータであるフェログラフィーのIs値 高い
主機起動時の静摩擦係数 錫 上昇する
亜鉛 ご提供頂いた油モービルDTE 検出する
亜鉛 合わせる
亜鉛 含む
亜鉛 添加剤 含む
亜鉛 濃度 検出する
亜鉛・ギヤ歯面 到達する
亜鉛・ギヤ歯面 鉄 上昇する
亜鉛・ギヤ歯面 錫 上昇する
今回のIs値 なる
今回の採油 経過する
仮定した減速機の使用期間 一致する
低回転機器であること 摩耗の進行 遅い
体積 考える
余寿命 短い
使用した箇所 不明
使用した部分の摩耗 発生する
使用油 ケイ素 シリコン系添加剤の投与量 分離する
使用油であるFBKタービン 添加剤 含む
保持器 使用した箇所 軸受 考える
修繕 交換する
傷 伴う
傷 軸受軌道面 発生する
傷 軸受軌道面への油供給量の減少 上昇する
光明丹 鉛 塗布する
入口側 迎えた採油配管の排油 ここ 逆転する
凝着摩耗 検出する
分布範囲 ある
分解性潤滑油 酸化する
分離した水 着色する
切削摩耗潤滑状態 発生する
切削粒子 破断する
切削粒子異物 噛む
前回までのSOAPの錫濃度ppm メタルのさ 算出する
剥離痕 発生する
劣化 スラッジ 進む
動体とのギャップ 増大する
動体の箇所 内輪内面軸受箱 発生する
動体の箇所 外輪外面軌道輪 発生する
動体の箇所 軌道輪 発生する
厳しい状態 ある
厳しい状態である摩耗 摩耗 集中する
参考値 考える
回分のみの分析データ 正確性 欠ける
図面各ギヤの形式歯形モジュール歯数歯幅の項目 なる
固形物 油中汚染度 状態 低下する
圧油の方 厳しい
塗料 混合する
増加し 使用した箇所の摩耗 SOAP-T 進行する
増加し 考える
変位量 潤滑油 大きい
外部 多く観察された粒子 混入する
外部 摩耗粒子の形態観察 混入する
外部 機器の潤滑状態機器の潤滑状態 混入する
外部 砂 混入する
外部混入異物 白色の樹脂 今回の廃油量 増量する
外部混入異物水分 良好
多く観察された粒子 厳しい
大型の摩耗粒子 沈降する
安定した油膜 形成する
実数部 求めたIs値 分ける
実施した共同研究生分解性タービン油の適用 懸念する
対象設備減速機 ある
寿命 なる
寿命 軸受 ある
小さい値であること 減速機のギヤ歯面 良好な状態 ある
年ヶ月の間 留まる
年月以降のRBOT値のデータの変化 計算する
底部 沈降する
当社保有の新油データベースの値 ある
当社推奨の管理限界値 NAS級以上の清浄度 使用されるような設備 重量汚染度 する
当社推奨の管理限界値 水分 上昇する
当社推奨の管理限界値 汚染度の管理限界 使用されるような設備 重量汚染度 する
当社推奨の管理限界値NAS級 上昇する
当社推奨の管理限界値NAS級以下 ある
当社推奨の管理限界値内 正常な状態 ある
当該機 軸受 良好
微小領域 限る
微量です 金属接触 金属 軸受の摺動面 ある
微量な上昇 留まる
応力 摩耗痕 集中する
成分 反応する
指数部 軸受の寿命 求めたIs値 小さい
振動 脱落する
振動増大 進行する
採油された試料油中 摩耗進行の有無 払う
推測したギヤの余寿命減速機ギヤのバックラッシ余寿命 出来る
損傷 至る
摩擦 軸受メタルの主成分である錫 オイルリング 低下する
摩擦熱 高い
摩擦面 発生する
摩耗 SOAP-T 進行する
摩耗 メタルの主成分である錫 進行する
摩耗 主軸 発生する
摩耗 本減速機の潤滑部 発生する
摩耗 水分 進行する
摩耗 油 進行する
摩耗 潤滑油 進行する
摩耗 異物 進行する
摩耗 軸受メタルの主成分である錫 進行する
摩耗したこと なる
摩耗のさ 増大する
摩耗の進行期の開始時期 砂 把握する
摩耗形態 剥離する
摩耗形態の中 切削摩耗 速い
摩耗形態機器内部 発生する
摩耗形態減速機内部 発生する
摩耗推移の監視 クランクメタル 有用
摩耗粒子 なる
摩耗粒子の形態観察 検出する
摩耗粒子診断異常摩耗の早期発見パラメータであるIs値 - ある
摩耗速度 遅い
摩耗進行 検出する
摩耗進行 進行する
摩耗進行速度 早い
摩耗防止剤などの影響 変動する
撹拌 油槽内 なくなる
故障 防ぐ
新油のIRスペクトル 一致する
新油のIRスペクトル 添加剤 含む
新油の汚染度 同等
新油値の.mgKOH/g 高い
旋回振動 なった潤滑油の影響 発生する
日石タービン 含む
更油 cm四方のサイコロ.個分 不明
更油 回分のみの分析データ 計算する
更油 急激な劣化の進行 使用油 する
更油後 考える
更油油 継続使用可能な状態 劣化する
更油粘度 ある
有機化合物 なる
検出されたこと 油温上昇 流体潤滑 ある
極圧添加剤 変動する
極圧添加剤 軸受軌道面 消耗する
極微量 油温上昇 流体潤滑 ある
機器 良好
機器の健全性 機器 把握する
機器の潤滑状態 良好
機器停止中 採取する
機械部品 ご提供し 頂いたJOMORIXタービンの油データ 含む
機械部品 正常なマイルド摩耗 厳しい
機械部品 添加剤 含む
機械部品 頂いた本試料油のFBKタービンの油データ 含む
正常な潤滑状態の範囲 ある
正確性 求められた余寿命 ある
歯幅 バックラッシの増加量 遊星歯車の数 歯幅 する
歯幅 遊星歯車の数 歯面の減肉 歯幅 する
歯形 不明
残留し 潤滑油 採取する
残留し 白色の樹脂 採取する
残留し 鉄錆 採取する
比較し 考える
水 溶け込む
水分 NAS級 高い
水分 多い
水分計数汚染度重量汚染度光学顕微鏡 良好
汚染 かかわる
汚染 汚染度物重量 良好
汚染 進む
汚染された潤滑油 機器の健全性 濾過する
汚染の要因 摩耗 考える
汚染度 スラッジ 高い
汚染度 混入異物 高い
汚染度 潤滑油 高い
汚染度 砂 高い
汚染度 鉄錆 高い
汚染度物重量 上昇する
汚染度物重量 良好
汚染度計数汚染度 汚染する
汚染度重量汚染度 上昇する
汚染物 軸受 ある
汚染状態 外部混入物などの影響 悪い
汚染状態の改善 予防処置 はかる
汚染粒子数 鉄 良好
汚染粒子数 錫・軸受リン 良好
沈降し いた粒子 凝着摩耗 採取する
油 写真混合後 混合する
油 同等
油の汚染度 高い
油の添加剤成分 考える
油の添加剤成分である亜鉛系添加剤 反応する
油中 混入する
油中のカルシウム添加剤 更油 反応する
油中の固形異物 軸受 噛む
油中の摩耗粒子 均一 分散する
油中の汚染度 高い
油中粒子 捕捉する
油中粒子サイズの分布状況 発生する
油余寿命の推定値時間 酸化防止剤 する
油劣化 錫 進行する
油名 異なる
油槽 採取する
油槽内 残留する
油槽内 洗浄する
油槽内底部 溜まる
油漏れ 発生する
油膜 形成する
油膜 破断する
油膜切れ 軸受摺動面 発生する
油量 多い
油量L 摩耗量 計算する
油量L 鉄の体積 摩耗量の推定ギヤの主成分である濃度 計算する
油量リットル 計算する
油面継電器 運転中 動作する
混入異物 残留する
混合前の潤滑油 存在する
添加剤 添加する
添加剤の投与量 使用油 する
清浄機出口サンプリング弁 マイルドな摩耗状態 推移する
減少 考える
減肉 算出する
減速機のギヤ歯面 バックラッシ 減速機のギヤ歯面 する
減速機出力側の平均回転数 稼動時間 rpm程度 する
減速機油中異物の影響 発生する
準備 混入する
溶出 発生する
溶出 軸受の保持器の摩耗潤滑油の添加剤塗料の成分 考える
潤滑油 含む
潤滑油 懸念する
潤滑油 摺動面 押し込める
潤滑油 水分 ある
潤滑油 汚染する
潤滑油 減速機 ある
潤滑油 酸化する
潤滑油 高圧下 軌道面 押し込める
潤滑油油槽 混入する
潤滑状態 発生する
潤滑状態 試料油 厳しい
潤滑状態の健全性 表現する
潤滑状態の変化 伴う
潤滑面 潤滑面 接触し 呼ぶ
濃度 増加する
濃度 金属表面 発生する
濃度 高い
濾過 NAS級 ギヤ油 mフィルタ 面圧 する
濾過したフィルタ表面上の夾雑物 切削摩耗 ある
濾過効率の確認潤滑油 濾過する
濾過精度 低下する
焼付 発生する
焼損 至る
熱劣化 発生する
燃焼ガスのシール性 化合物 ピストンリングの摩耗 低下する
燃焼ガスのシール性 更油 オイルリングの摩耗 低下する
燃焼ガス中 銅 硫黄分 反応する
状態 なる
現象 発生する
球状粒子 増加する
球状粒子 考える
球状粒子 軸受の破損原因の調査・検討結果摩耗粒子の形態観察 検出する
異常な潤滑状態 なる
異常な状態 発生する
異常の兆候 継続使用可能な状態 発見する
異常摩耗の早期発見パラメータであるフェログラフィーのIs値 管理限界値内 全酸価のデータ ある
異常摩耗の早期発見パラメータであるフェログラフィーのIs値 軸受寿命の指標 高い
異常摩耗の早期発見パラメータであるフェログラフィーのIs値 高い範囲 ある
異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 良好
異常摩耗の早期発見パラメータであるフェログラフィーのIs値はのマイナス乗からのマイナス乗 錫 下がる
異物 ~μmサイズの摩耗粒子 砂 軸受寿命の指標 する
異物 中 軸受寿命の指標 する
異物 検出する
異物 油の汚染物の中 水分 ある
異物 混合する
異物 潤滑油 混入する
異物 潤滑状態 厳しい
異物 疲労摩耗粒子 噛む
異物 発生する
異物 軸受 ある
異物の潤滑部 噛む
異種油混入の確認油名 間違う
疲労摩耗粒子 観察された摩耗粒子 認める
疲労摩耗粒子フレッティング 発生する
疲労摩耗粒子異物の切削作用 発生する
発電機軸受 摩耗する
発電機軸受 潤滑する
相手面の金属表面 異物 削る
破損 至る
硬い突起 の金属面 喰う
硬い突起 他方の金属面 軸受の寿命の指標 食い込む
示すような薄片状の大型の摩耗粒子 検出する
稼動時間 不明
積算した値のppm 計算する
箇所 油中汚染物 ある
箇所 発生する
箇所 砂 ある
箇所 鉛であること 光明丹 鉛 残る
粒子サイズ 含む
粒子数 増加する
粒度分布粒度分布 ある
粘度 上昇する
粘度 更油 低下する
粘度 油 低下する
粘度 激変する
粘度油 清掃する
粘度粘度 良好
粘性抵抗 増大する
精密な潤滑油フィルタ 当該設備の潤滑油系統 設置する
精度 多い添加剤 低下する
累積錫濃度 計算する
継続使用可能な範囲 ある
良好な油膜の形成 難しい
良好の範囲 異常摩耗の早期発見パラメータであるIs値がのマイナス乗 ある
良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 ある
良好の範囲 ）潤滑状態・パラメータ：摩耗診断油中金属濃度）摩耗診断異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗 ある
若干摩耗 発生する
薄い茶色 当社推奨の管理限界値 なる
表面 検出する
表面 茶褐色 当社推奨の管理限界値 なる
観察されたシビア粒子 懸念する
観察された摩耗粒子の中 考える
観察された摩耗粒子の材質 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 亜鉛 軸受寿命の指標 する
観察された鉄錆 シリンダ摺動面 噛む
試料油 バケツ 保管する
赤錆 いたこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い
起動 摩耗 摩耗 下がる
軟らかい側の金属表面 摺動面 埋まる
軸 転がる
軸受 取り替える
軸受のさ 計算する
軸受の寿命 指数部 求めたIs値 分ける
軸受の損傷範囲 他電力での事例 拡大する
軸受の損傷範囲 同様 拡大する
軸受の摩耗速度 新油 加速する
軸受の摺動面 観察された摩耗粒子の形態 金属 軸受の摺動面 する
軸受の継続使用の是非本試料のIs値 水分 厳しい
軸受メタル 含む
軸受メタル 深い
軸受メタルの成分である錫 主軸との接触 高い
軸受メタルの摩耗体積 相当する
軸受リン NAS級 到達する
軸受リン 良好
軸受リン・添加剤カルシウム 到達する
軸受寿命の指標であるフレーキング 発生する
軸受温度の監視 強化する
軸受腐食 発生する
軸受表面 なる
軸受表面 深い
軸受表面 粗い
軸受近傍 採油 発生する
軸受部品 交換する
辺 相当する
通常運転中 発生する
酸化劣化 熱 進行する
重合反応 圧縮熱 起こす
重合反応 潤滑油中の添加剤 起こす
重量汚染度のデータ ある
金属 溶融する
金属同士の接触 防止する
金属成分以外の成分 計測された中 含む
金属接触 摩擦熱 厳しい
金属表面 マグネシウム 油中の酸成分の影響 腐食する
鉄 油の添加剤成分 含む
鉄 粒子 正常なマイルド摩耗潤滑状態 含む
鉄 考える
鉄 鉛 混入する
鉄 高い
鉄系粒子の他 カーボン微粒子 硬い
鉄系粒子の他 スラッジ 含む
鉛 含む
銅 イオン化する
銅 反応する
銅 潤滑油 検出する
銅 良好
銅 触媒 なる
銅 鉛 混入する
銅 錫 含む
銅合金 考える
銅系のシビア粒子 鉄 混入する
銅系シビア粒子フレッティング 発生する
銅系シビア粒子繰返し応力 フェログラフィーのIs値 受ける
錫 考える
錫の組成割合 体積 計算する
錫・軸受 良好
限界値 到達する
電動サーボ 微少範囲 往復する
青緑色 分離した水の外観 透明
青緑色 着色する
面圧 ギヤ歯面 電動サーボ 高い
面圧 高い
音 発生する
頂いた本試料油のFBKタービンの油データ 添加剤 含む
頂いた油 高い
高圧・高温の箇所 発生する
高温高圧 状況 潤滑部 マイルド摩耗の発生 ある
高濃度のカルシウム化合物 潤滑油 生成する
黒錆 有用
： 起こる
