Rule,Support,Confidence,Lift
IRのデータ 粘度 良好 =>IRのデータ 水分 良好,0.03571428571428571,1.0,28.0
全酸価 水分 良好 =>IRのデータ 水分 良好,0.03571428571428571,1.0,28.0
全酸価 粘度 良好 =>IRのデータ 水分 良好,0.03571428571428571,1.0,28.0
計数汚染度 当社推奨の管理限界値内 水分 ある =>IRのデータ 水分 良好,0.03571428571428571,1.0,28.0
重量汚染度 水分 汚染する =>IRのデータ 水分 良好,0.03571428571428571,1.0,28.0
IRのデータ 水分 良好 =>IRのデータ 粘度 良好,0.03571428571428571,1.0,28.0
全酸価 水分 良好 =>IRのデータ 粘度 良好,0.03571428571428571,1.0,28.0
全酸価 粘度 良好 =>IRのデータ 粘度 良好,0.03571428571428571,1.0,28.0
計数汚染度 当社推奨の管理限界値内 水分 ある =>IRのデータ 粘度 良好,0.03571428571428571,1.0,28.0
重量汚染度 水分 汚染する =>IRのデータ 粘度 良好,0.03571428571428571,1.0,28.0
シリコングリース シール部 塗布する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
シリコングリース 潤滑油 混入する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
シリコン系の添加剤 検出する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
全酸価 良好の範囲 ある =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
消泡剤の投与 シール部 砂 シール部 する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
潤滑油中 検出する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
砂 フィルタ 検出する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
砂 フィルタ表面の異物観察 検出する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
砂 フェログラフィー 検出する =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
箇所 砂 ある =>IRのデータ 良好の範囲 ある,0.03571428571428571,1.0,28.0
