報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象,レコード_id
108003794,0,12,受ける, , ,沈降の影響, , , , ,沈降の影響 よる,0
108003794,0,15,出る, , , ,濃度, , , ,濃度 なる,0
108003794,2,7,検出する, , ,μm以下の疲労摩耗粒子, , , , ,疲労摩耗粒子 検出する,1
108003794,2,13,なる, , , , , , ,軸受の寿命の指標,軸受の寿命 なる,1
108003794,4,5,含む, , ,リン, ,使用油である日石タービン, , ,リン 添加剤 含む,2
108003794,4,5,含む, , ,リン, ,添加剤, , ,亜鉛 添加剤 含む,2
108003794,4,5,含む, , ,亜鉛, ,使用油である日石タービン, , ,亜鉛 添加剤 含む,2
108003794,4,5,含む, , ,亜鉛, ,添加剤, , ,亜鉛 検出する,2
108003794,6,5,上昇する, , ,スラッジの発生重量汚染度, , , , ,スラッジ 考える,2
108003794,6,5,上昇する, , ,mg/ml, , , , ,mg/ml 到達する,2
108003794,6,5,上昇する, , ,当社推奨の管理限界値, , , , ,当社推奨の管理限界値 到達する,2
108003794,7,4,なる, , ,表面,フィルタ表面の異物観察, , , ,フィルタ表面 茶褐色 当社推奨の管理限界値 なる,2
108003794,7,4,なる, , ,表面,茶褐色, , , ,表面 茶褐色 当社推奨の管理限界値 なる,2
108003794,7,9,検出する, , ,鉄, , , , ,鉄 混入する,2
108003794,7,9,検出する, , ,リン, , , , ,さ 検出する,2
108003794,7,9,検出する, , ,亜鉛, , , , ,さ 検出する,2
108003794,7,12,高い, , ,汚染度, , , , ,鉄 検出する,2
108003794,8,3,増加する, , ,汚染度, , , , ,鉄 検出する,2
108003794,8,7,及ぼす, , ,軸受軌道面の油膜形成, , , , ,軸受軌道面 噛む,2
108003794,8,12,微細, , ,スラッジ, , , , ,鉄 検出する,2
108003794,10,4,発生する, , ,使用した部分の溶出, , , , ,使用した部分の摩耗 発生する,3
108003794,11,7,溶出する, , , ,亜鉛系添加剤の影響, , , ,溶出 発生する,4
108003794,12,8,伴う, , , , , , ,銅濃度の増加,汚染度 増加する,5
108003794,12,10,進行する, , ,酸化速度, , , , ,銅濃度の増加 伴う,5
108003794,14,1,良好, , , , ,粘度, , ,粘度 良好,6
108003794,15,9,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値 上昇する,7
108003794,16,1,良好, , , , ,水分, , ,水分 良好,8
108003794,17,5,ある, , , ,当社推奨の管理限界値の以内,.ppm, , ,当社推奨の管理限界値の以内 水分 ある,9
108003794,22,2,高い, , , , ,計数汚染度, , ,計数汚染度 なる,10
108003794,22,6,上昇する, , ,当社推奨の管理限界値, ,重量汚染度, , ,当社推奨の管理限界値 上昇する,10
108003794,23,4,なる, , , , , , ,計数汚染度,計数汚染度 ある,10
108003794,23,4,なる, , , , , , ,高い値,値 なる,10
108003794,24,5,ある, , , ,NAS級,計数汚染度, , ,計数汚染度 高い,10
108003794,24,5,ある, , , ,当社推奨の管理限界値のNAS級以内,計数汚染度, , ,当社推奨の管理限界値のNAS級以内 計数汚染度 ある,10
108003794,24,10,なる, , , , , , ,高い値,値 なる,10
108003794,25,3,上昇する, , ,当社推奨の管理限界値, ,重量汚染度, , ,当社推奨の管理限界値 上昇する,10
108003794,26,5,上昇する, , ,mg/ml, ,重量汚染度, , ,mg/ml 上昇する,10
108003794,26,5,上昇する, , ,当社推奨の管理限界値のmg/ml, ,重量汚染度, , ,mg/ml 上昇する,10
108003794,29,3,良好, , , , ,機器の潤滑状態機器の潤滑状態, , ,潤滑状態 良好,11
108003794,30,4,検出する, , ,銅, , , , ,銅 含む,12
108003794,31,6,含む, , , , ,銅, , ,鉄 含む,12
108003794,31,6,含む, , , , ,油の添加剤成分, , ,鉄 含む,12
108003794,31,9,検出する, , ,リン, , , , ,さ 検出する,12
108003794,31,9,検出する, , ,亜鉛, , , , ,さ 検出する,12
108003794,32,5,検出する, , ,鉄, , , , ,鉄 混入する,12
108003794,32,5,検出する, , ,亜鉛, , , , ,さ 検出する,12
108003794,33,6,含む, , , , ,鉄, , ,鉄 ある,12
108003794,33,6,含む, , , , ,油の添加剤成分, , ,鉄 含む,12
108003794,33,10,混入する, ,リン, , , , , ,鉄 検出する,12
108003794,33,10,混入する, ,亜鉛, , , , , ,鉄 検出する,12
108003794,33,10,混入する, ,外部, , , , , ,亜鉛 検出する,12
108003794,33,15,検出する, , ,バリウム, , , , ,さ 検出する,12
108003794,33,15,検出する, , ,カルシウム, , , , ,鉄 カルシウム 含む,12
108003794,33,15,検出する, , ,ナトリウム, , , , ,さ 検出する,12
108003794,34,5,検出する, , ,μm以下の疲労摩耗粒子, , , , ,疲労摩耗粒子 検出する,12
108003794,35,6,ある, , , , ,良好の範囲, ,異常摩耗の早期発見パラメータであるIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 良好,12
108003794,35,13,検出する, , ,μm以下の疲労摩耗粒子, , , , ,疲労摩耗粒子 検出する,12
108003794,36,6,含む, , ,鉄, , , , ,鉄 ある,12
108003794,36,6,含む, , ,クロム, , , , ,鉄 検出する,12
108003794,36,6,含む, , ,マンガン, , , , ,鉄 含む,12
108003794,36,6,含む, , ,ニッケル, , , , ,鉄 含む,12
108003794,36,8,検出する, , ,粒子, , , , ,さ 検出する,12
108003794,37,5,検出する, , ,観察された粒子, , ,XMA, ,粒子 検出する,12
108003794,37,11,含む, , ,鉄, , , , ,鉄 検出する,12
108003794,37,11,含む, , ,クロム, , , , ,鉄 検出する,12
108003794,37,11,含む, , ,マンガン, , , , ,鉄 含む,12
108003794,37,11,含む, , ,ニッケル, , , , ,鉄 含む,12
108003794,37,13,検出する, , ,粒子, , , , ,さ 検出する,12
109000244,2,3,検出する, ,潤滑油中,ケイ素, , , , ,潤滑油中 検出する,24
109000244,2,11,検出する, , ,シリコン系の添加剤, , , , ,さ 検出する,24
109000244,2,17,検出する, , ,砂, , ,フェログラフィー, ,砂 フィルタ 検出する,24
109000244,2,17,検出する, , ,砂, , ,フィルタ表面の異物観察, ,砂 フェログラフィー 検出する,24
109000244,2,19,検出する, , ,これ, , , , ,さ 検出する,24
109000244,2,22,塗布する, , ,シリコングリース, ,シール部, , ,シリコングリース シール部 塗布する,24
109000244,2,27,混入する, , ,シリコングリース, ,潤滑油, , ,潤滑油 ある,24
109000244,2,36,検出する, , ,砂, , ,フェログラフィー, ,砂 フィルタ 検出する,24
109000244,2,36,検出する, , ,砂, , ,フィルタ, ,砂 検出する,24
109000244,3,10,する, , ,消泡剤の投与, , , , ,消泡剤の投与 シール部 砂 シール部 する,24
109000244,3,14,ある, , ,箇所, , , , ,砂 検出する,24
109000244,4,13,検出する, , ,ケイ素, , , , ,さ 検出する,24
109000244,4,22,ある, , ,検出されたこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値, ,良好の範囲, , ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲 ある,24
109000244,4,31,ある, , ,粘度, ,良好の範囲, , ,粘度 良好,24
109000244,4,31,ある, , ,水分, ,良好の範囲, , ,水分 良好,24
109000244,4,31,ある, , ,全酸価, ,良好の範囲, , ,粘度 良好の範囲 ある,24
109000244,4,31,ある, , ,IRのデータ, ,良好の範囲, , ,粘度 良好の範囲 ある,24
109000244,6,1,良好, , , , ,粘度, , ,粘度 良好,24
109000244,7,9,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値 上昇する,25
109000244,8,1,良好, , , , ,水分, , ,水分 良好,26
