名詞クラス,名詞,co_freq
食料,添加剤,1099
食料,亜鉛系添加剤,197
食料,カルシウム添加剤,195
食料,消泡剤,171
食料,酸化防止剤,101
食料,防錆剤,27
食料,潤滑油添加剤,27
食料,極圧添加剤,22
食料,水,11
食料,冷却水,9
食料,金属添加剤,8
食料,バリウム系添加剤,8
食料,清浄分散剤,7
食料,シリコン添加剤,7
食料,オイルパン,7
食料,溶剤,6
食料,減肉,6
食料,塩,5
食料,摩耗亜鉛系添加剤,4
食料,かき揚げ,4
食料,結露水,3
食料,シリコン系添加剤,3
食料,河川水,2
食料,更油酸化防止剤,2
食料,塗料,2
食料,ランナーボス潤滑水,2
食料,シール剤,2
食料,耐摩耗剤,1
食料,潤滑剤,1
食料,当社清浄分散剤,1
食料,剤,1
食料,ディーゼル機関フィルタ上流側オイルパン,1
食料,シリコン系消泡剤,1
食料,オイル添加剤,1
類,ため,11618
類,影響,11395
類,結果,9658
類,分析結果,5795
類,目的,4542
類,NAS級,3287
類,原因,3095
類,要因,2167
類,レベル,1595
類,管理目安,1523
類,一般,1488
類,砂等,1482
類,中,1380
類,潤滑油中,728
類,発生原因,622
類,差異,552
類,機器停止中,537
類,目安,508
類,比較,499
類,下式,486
類,管理基準,477
類,間,427
類,異物等,407
類,せん断作用,386
類,観察結果,371
類,計算結果,359
類,基準,330
類,差,325
類,条件,310
類,基,307
類,効果,287
類,対応,276
類,鉄錆等,270
類,スペクトルパターン,268
類,前提,258
類,油循環中,244
類,油系統,238
類,もと,234
類,停止中,227
類,等級,214
類,油中,203
類,採油条件,201
類,元,197
類,比較結果,190
類,悪条件,177
類,悪影響,176
類,切削作用,164
類,軸受等,157
類,潤滑系,156
類,下,149
類,例,145
類,樹脂等,142
類,運転条件,128
類,燃焼ガス中,127
類,フィルタ類,116
類,主機停止中,108
類,高圧下,107
類,相違,106
類,-レベル,102
類,管理限界値NAS級,101
類,形態観察結果,101
類,理由,100
類,反対,92
類,ケルメット層,87
類,前回NAS級,85
類,診断結果,84
類,ホワイトメタル層,81
類,クランクメタル等,80
類,段階,79
類,事例,79
類,級,77
類,銅系,75
類,違い,74
類,管理表中,72
類,特性低下分析結果,72
類,粘度グレード,71
類,目詰まり等,71
類,研究結果,69
類,油種,69
類,試料油中,68
類,使用条件,66
類,エンジン油中,66
類,表面下,64
類,式,64
類,上,64
類,発生要因,60
類,根拠,58
類,メタルコンタクト,58
