動詞クラス,動詞,co_freq
（人との関わりに基づく）対象の性質,分かる,5568.0
（人との関わりに基づく）対象の性質,受ける,1242.0
（人との関わりに基づく）対象の性質,呼ぶ,192.0
（人との関わりに基づく）対象の性質,切れる,96.0
（人との関わりに基づく）対象の性質,要する,48.0
（人との関わりに基づく）対象の性質,頂ける,30.0
（人との関わりに基づく）対象の性質,言う,14.0
（人との関わりに基づく）対象の性質,役立つ,10.0
（人との関わりに基づく）対象の性質,取れる,9.0
（人との関わりに基づく）対象の性質,裏付ける,5.0
（人との関わりに基づく）対象の性質,耐える,4.0
（人との関わりに基づく）対象の性質,懸かる,1.0
非遂行,避ける,194.0
非遂行,残る,95.0
非遂行,誤る,62.0
非遂行,見落とす,50.0
非遂行,抜く,27.0
非遂行,落とす,12.0
非遂行,回避する,7.0
非遂行,終わる,5.0
非遂行,妨げる,4.0
非遂行,外す,4.0
非遂行,流す,2.0
非遂行,生かす,1.0
非意志的な運動・反応,反応する,456.0
非意志的な運動・反応,重合する,165.0
非意志的な運動・反応,逆転する,98.0
非意志的な運動・反応,振動する,87.0
非意志的な運動・反応,運転する,49.0
非意志的な運動・反応,上げる,30.0
非意志的な運動・反応,動作する,24.0
非意志的な運動・反応,戻す,21.0
非意志的な運動・反応,言う,14.0
非意志的な運動・反応,回る,12.0
非意志的な運動・反応,稼働する,10.0
非意志的な運動・反応,流れる,9.0
非意志的な運動・反応,出す,6.0
非意志的な運動・反応,差し引く,4.0
非意志的な運動・反応,打つ,3.0
非意志的な運動・反応,流す,2.0
非意志的な運動・反応,動く,2.0
非意志的な運動・反応,自転する,1.0
非意志的な運動・反応,回す,1.0
関係の変化,なる,22463.0
関係の変化,一致する,1363.0
関係の変化,係る,878.0
関係の変化,溶出する,772.0
関係の変化,入る,633.0
関係の変化,有効,568.0
関係の変化,満たす,510.0
関係の変化,繋がる,442.0
関係の変化,混合する,437.0
関係の変化,同様,401.0
関係の変化,同等,368.0
関係の変化,上回る,337.0
関係の変化,つながる,290.0
関係の変化,よる,254.0
関係の変化,因る,240.0
関係の変化,近い,234.0
関係の変化,入れる,179.0
関係の変化,かきあげる,172.0
