報告No.109-09136 報告No.114-00050 ,分析No.109-001160 分析No.114-000143 ,114-000143,分析の結果、油の劣化は確認されていないものの、計数汚染度がNAS級以上と高く、IRで新油のスペクトルと一致しない吸収が確認されています。汚染度の改善と異種油の混入の有無を確認することが必要と思われます。減速機分析の結果、減速機は継続使用可能な状態にあると判断します。但し、将来的な摩耗進行の有無を確認するためにも傾向監視を継続することが有効です。更油油中の汚染物がギヤ歯面や軌道面に噛み込み摩耗が進行することが懸念されるため、更油を推奨します。定期的な分析今後の進行が懸念される疲労摩耗の推移を監視するため、定期的な分析実施を推奨します。異種油混入の確認IRで新油のスペクトルと一致しない吸収が確認されていることから、異種油の混入がないか確認することを推奨します。分析結果減速機の摩耗状態異常摩耗の早期発見のパラメータであるIs値は、レベルと低い値です。フェログラフィーで観察された代表的な粒子は、以下の通りです。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。疲労摩耗粒子・繰返し応力による金属疲労で発生。大型化するとフレーキングおよびスポーリングの発生が懸念されます。観察された粒子を電子顕微鏡・X線マイクロアナリシスで詳細に分析した結果、粒子には鉄、クロム、マンガン、モリブデンが比較的多く含まれており、成分割合から粒子はギヤ歯面から発生していると推定されます。計数汚染度はNAS級以上と当社推奨の管理限界値を超えています。フィルタグラムで金属片、鉄錆、砂等が観察されたことから、汚染度が高い要因は、摩耗と外部混入異物の影響と思われます。粘度、水分、酸価の各データは良好です。IRの結果、新油のスペクトルと一致しない吸収が確認されていることから、異種油の混入がないか確認する必要があります。
,,113-001980,対象設備は継続使用可能な状態にあると判断します。但し、今後の摩耗進行の有無を確認するためにも傾向監視を継続することが有効です。に示す内容をご確認ください。潤滑油潤滑油は油名が不明であることから、性能評価をすることが出来ませんでした。に示す内容をご確認ください。定期的な分析摩耗推移の傾向を把握し、摩耗進行の将来予測を行うために、定期的に分析を実施することを推奨します。新油の分析粘度、塩基価は、油の性能を評価するパラメータの一種です。油の性能低下は、新油との比較が必要なことから、未使用油の提供および分析による比較評価を推奨します。総合的に判断した結果、は許容範囲内にあり、機器は継続使用可能と判定しますが、摺動部の摩耗が認められたため、定期的に潤滑油分析を実施し、摩耗推移を監視することが有用と考えます。フェログラフィー【定量分析：Is値】Is値は異常摩耗の早期発見パラメータのつで、摩耗を定量化するために用います。Is値はの乗とやや高い値でした。フェログラフィー【定性分析：摩耗粒子の形態観察】比較的多く観察された粒子は、以下の通りです。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。切削粒子・異物や金属表面の微小突起による切削摩耗により発生。観察された摩耗粒子の中でも切削粒子は、将来的に異常摩耗へ進展する可能性を示唆しているため、傾向監視が必要と思われます。詳細は、別紙傾向監視が必要な摩耗粒子をご覧ください。Iカップリング発光分光分析【SOAP-T】摩耗発生箇所は、以下のように推定します。鉄、鉛、銅、アンチモン、錫・エンジン部品等リン、亜鉛、カルシウム、マグネシウム・添加剤アルミニウム、ナトリウム、モリブデン・外部混入異物コンロッドメタル或いはクランクメタル等の摩耗SOAP-Tで錫がppm、鉛がppm、アンチモンが、銅が検出されたことから、コンロッドメタル或いはクランクメタル等が摩耗していると推定します。詳細は、別紙コンロッドメタル・クランクメタルの摩耗をご覧ください。固形カルシウム化合物の生成SOAP-Tでカルシウムが検出されました。ディーゼルエンジンオイル中に検出されるカルシウムは、燃焼ガス中に含まれている硫黄分と反応して微小サイズの硫酸カルシウム、いわゆる石膏が生成されます。この影響については、別紙固形カルシウム化合物の生成をご覧ください。粘度粘度はmm/sでした。新油との比較による評価が必要です。水分は.ppmと当社推奨の管理限界値以下であり、良好でした。塩基価は.mgKOH/gでした。新油との比較による評価が必要です。
報告No.109-09094 報告No.112-00124 ,分析No.109-000916 分析No.112-000492 ,112-000492,グリースおよび対象設備は継続使用可能な状態にあると判断します。はフェログラフィーおよびSOAP-Tの結果から総合的に判断した結果、正常な状態にあると考えられます。フェログラフィー【定性分析：摩耗粒子および摩耗形態観察】分析結果から比較的多く観察された粒子は、以下の通りでした。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。Iカップリング発光分光分析【SOAP-T】検出された金属元素から発生箇所を推定すると、以下の通りでした。鉄、鉛、ニッケル、錫・ギヤ等リン、カルシウム、アルミニウム、ナトリウム、モリブデン・添加剤、増ちょう剤、外部混入異物グリースのちょう度、滴点、酸価、IRの各データは良好でした。≪状態監視とパラメータ≫分析の目的および各分析のパラメータは以下の通りです。特性低下目的：グリースの分析結果から、グリースの物理的性状や劣化傾向などを確認する。酸価JISK赤外線吸収スペクトルJISKちょう度JISK滴点JISK摩耗目的：グリース中の摩耗粒子を分析する事により、回転・摺動部の潤滑状態、摩耗劣化の程度、余寿命などを解析する。摩耗診断電子顕微鏡観察JISKX線マイクロアナリシス油中金属濃度JISK≪分析結果≫特性低下酸価：良好酸価mgKOH/gは新油値の.mgKOH/gに比較し高くはあるものの、有機物・有機化合物試験の結果で油劣化の兆候を示すカルボン酸の吸収が見られないことから問題は無いと判断します。赤外線吸収スペクトル：良好ちょう度：良好ちょう度値はと当社推奨の管理限界値であるから以内に留まっています。滴点：良好滴点はと新油値のに比較し大きな変化はないことから問題は無いと判断します。摩耗摩耗診断：良好摩耗診断の結果、潤滑状態が正常な場合に発生する摩耗粒子が比較的多く観察されました。電子顕微鏡観察・X線マイクロアナリシス：今回は実施していません。油中金属濃度：良好油中金属濃度の結果、摩耗により発生する鉄、鉛、ニッケル、錫、油の添加剤成分や増ちょう剤等であるリン、カルシウム、アルミニウム、ナトリウム、モリブデンが検出されたものの、良好と判断します。
報告No.109-09094 報告No.112-00124 ,分析No.109-000870 分析No.112-000490 ,112-000490,潤滑油および対象設備は継続使用可能な状態にあると判断します。はフェログラフィーおよびSOAP-Tの結果から総合的に判断した結果、正常な状態にあると考えられます。フェログラフィー【定量分析：Is値】Is値は異常摩耗の早期発見パラメータのつで、摩耗粒子を定量化するために用います。今回のIs値はのマイナス乗と低い値でした。フェログラフィー【定性分析：摩耗粒子および摩耗形態観察】分析結果から比較的多く観察された粒子は、以下の通りでした。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。Iカップリング発光分光分析【SOAP-T】検出された金属元素から発生箇所を推定すると、以下の通りでした。ニッケル・軸受等リン・添加剤ナトリウム、モリブデン・外部混入異物．計数汚染度、重量汚染度は共に良好でした。．粘度、水分、酸価、IR、RBOTの各データは良好でした。尚、RBOTがminと新油値のminに比較してmin減少していました。このまま継続使用した場合、この減少傾向から限界値に到達するのは、別紙図RBOTの減少傾向に示すように年月と推定されました。残りの継続使用期間は、約ヶ月であると予測されます。≪状態監視とパラメータ≫分析の目的および各分析のパラメータは以下の通りです。特性低下目的：油の分析結果から、や劣化傾向ならびに添加剤の消耗程度、残存寿命などを確認する。粘度JISK酸価JISK赤外線吸収スペクトルJISK酸化安定度試験JISK汚染目的：油の分析結果から、砂塵あるいは水・異種油などによるや、異物混入の有無を確認する。水分JISK計数汚染度JISB重量汚染度JISB光学顕微鏡観察摩耗目的：油中の摩耗粒子を分析する事により、回転・摺動部の潤滑状態、摩耗劣化の程度、余寿命などを解析する。摩耗診断電子顕微鏡観察JISKX線マイクロアナリシス油中金属濃度JISK≪分析結果≫特性低下粘度：良好粘度値mm/sの新油値mm/sに対する変化率は-.％であり、当社推奨の管理限界値±％以内に留まっています。酸価：良好酸価.mgKOH/gは新油値の.mgKOH/g以内にあることから、問題は無いと判断します。赤外線吸収スペクトル：良好酸化安定度試験：良好酸化安定度試験の結果、数値minは当社推奨の管理限界値min以上に留まっており、現時点での使用は可能と判断します。汚染水分：良好水分値ppmは当社推奨の管理限界値以内に留まっています。計数汚染度：良好計数汚染度はNAS級と当社推奨の管理限界値NAS級以内にあります。重量汚染度：良好重量汚染度は.mg/mlと当社推奨の管理限界値mg/ml以内にあります。光学顕微鏡観察：良好光学顕微鏡写真は捕捉された汚染物の量は少なく、スラッジは確認されませんでした。摩耗摩耗診断：良好摩耗診断の結果、異常摩耗の早期発見パラメータであるIs値がのマイナス乗と良好の範囲にあることから、潤滑状態は正常と判断します。電子顕微鏡観察・X線マイクロアナリシス：今回は実施していません。油中金属濃度：良好油中金属濃度の結果、摩耗により発生するニッケル、油の添加剤成分であるリン、外部から混入したと思われるナトリウム、モリブデンが検出されたものの、良好と判断します。
報告No.109-09136 報告No.112-00643 ,分析No.109-001160 分析No.112-002877 ,112-002877_date130321,分析の結果、油の劣化は確認されていないものの、粘度は当社推奨の管理限界値以下であり、IRの結果で新油と使用油のスペクトルパターンが一致していない箇所が確認されました。異種油の混入、または油名が違う可能性がありますので、以下の対策を推奨します。減速機減速機は継続使用可能な状態にあると判断します。但し、ギヤ歯面や軌道面では局部的に高圧・高温の箇所が発生していることから、以下の対策を推奨します。異種油の混入および油名の確認分析データから新油と一致しないデータが確認されたことから、異種油の混入または油名が違っている可能性があります。油は設備の条件にあった適正な性能のものを使用することが重要であるため、異種油の混入の有無、油名を再確認することを推奨します。定期的な分析および分析周期の検討定期的に分析を実施することにより、データの変化から異常の兆候を早期に発見することが可能となります。また、今回は対象設備の初回分析であるため、あと最低でも回分析を実施し、分析データの変化から今後の分析周期を検討することを推奨します。今後、摩耗の進行が懸念されるため、出来るだけ早めに回目の分析を実施することを推奨します。はフェログラフィーおよびSOAP-Tの結果から総合的に判断した結果、継続使用は可能ですが、機器の機能を保持するためにも傾向管理が有用と考えます。フェログラフィー【定量分析：Is値】Is値は異常摩耗の早期発見パラメータのつで、摩耗粒子を定量化するために用います。今回のIs値はの乗と高い値でした。フェログラフィー【定性分析：摩耗粒子および摩耗形態観察】分析結果から比較的多く観察された摩耗粒子は、以下の通りでした。フリクションポリマ・局部的に高圧・高温となる場合に発生。Iカップリング発光分光分析【SOAP-T】検出された金属元素から発生箇所を推定すると、以下の通りでした。鉄、ニッケル、亜鉛・ギヤ、軸受等リン、モリブデン・添加剤カルシウム、バリウム、アルミニウム、ナトリウム・外部混入異物SOAP-Tの結果、リンがppm検出されました。ご提供いただいた新油モービルギヤからリンがppmと桁含まれていることから、添加剤の消耗、異種油の混入、または油名の誤りなどが考えられます。リンは、極圧添加剤として含まれています。極圧添加剤は、金属表面と化学反応を起こし、金属より融点の低い化合物を生成し、これが潤滑材として働き摩耗を防止しています。そのため、リンの消耗が進行した場合、潤滑部では油膜が形成されにくくなり、摩耗が進行しやすくなるため、注意が必要です。は良好と判断します。計数汚染度計数汚染度は、NAS級と当社推奨の管理限界値NAS級以下であり、良好と判断します。重量汚染度は、.mg/mlでした。光学顕微鏡写真重量汚染度で濾過したフィルタ表面上の夾雑物を光学顕微鏡で観察した結果、茶褐色の粘ちょう物、金属片、鉄錆、砂等が観察されました。粘度は当社推奨の管理限界値以下であり、IRの結果で新油と使用油のスペクトルパターンが一致していない箇所が確認されました。粘度粘度は、mm/sと新油値mm/sに比較して、粘度変化率は-.％で、当社推奨の管理限界値である±％を超えていました。適正な粘度範囲で使用していない場合、潤滑部で油膜切れが発生し、摩耗の進行に繋がることが懸念されます。水分は、.と当社推奨の管理限界値の以下であり、良好と判断します。酸価は、.mgKOH/gと新油値.mgKOH/g以下であり、良好と判断します。IRIRの結果、新油と使用油のスペクトルパターンが一致していない箇所が確認されました。
,,113-001446,分析の結果、油の劣化は確認されなかったことから、継続使用可能と判断します。但し、粘度が低下していることから、に示す対策を推奨します。対象設備本試料は、停止中のオイルゲージから採油しているため、油中の摩耗粒子が均一に分散していないと思われることから、分析データはやや低目になってしまいます。しかし、分析の結果では、エンジン内のカム/カムローラ部で使用されるクロムと、コンロッドのメタル部で使用されている錫が若干ながら検出されたことから、これらの箇所が僅かながら摩耗している事が分かります。今回は、検出された濃度が極低濃度であることから対象設備は継続使用可能と思われますが、今後の摩耗進行の有無を確認するためにも傾向監視を継続することが有効です。定期的なトライボ診断実施定期的な分析を実施することにより、データの変化から異常の兆候を早期に発見することが可能となります。今後懸念される切削摩耗、凝着摩耗の進行を監視するため、定期的なトライボ診断の実施を推奨します。早めに更油粘度低下が確認されており、潤滑部で油膜切れなどによる摩耗の発生が懸念されます。これらの予防処置として早めの更油を推奨します。最適な採油方法本試料油は、機器停止中にオイルゲージから採油されているため、分析データが低濃度に出ていると推定されます。正確なデータによる診断を行うためにも、今後の採油は、極力運転中もしくは停止直後の油槽中層部から実施されることを推奨します。粘度は当社推奨の管理限界値以内にあるものの、低い値でした。粘度粘度は、.mm/sと新油値のmm/sに比較して粘度変化率が-％となっており、当社推奨の管理限界値である±％以内にあるものの、低下していました。水分は.と当社推奨の管理限界値以下にあり、良好と判断します。IRIRは油劣化の兆候を示すカルボン酸の吸収が確認されていないことから、油は劣化していないと判断します。塩基価は.mgKOH/gと当社推奨の管理限界値mgKOH/g以上であり、良好と判断します。フィルタの表面観察および粒度分布の結果から、油中粒子の主成分はすすであり、そのほかに金属片、鉄錆、砂等が含まれていると考えられます。重量汚染度はmg/mlでした。光学顕微鏡写真重量汚染度で濾過したフィルタ表面上の夾雑物を光学顕微鏡で観察した結果、金属片、すす、鉄錆、砂等が観察されました。粒度分布粒度分布は.～μmの範囲にあり、.μmにピークが確認されました。μm以下の粒子が多いことから、燃焼して発生したすす等が油中粒子の主成分であることが推測できます。はフェログラフィーおよびSOAP-Tの結果から総合的に判断した結果、継続使用は可能ですが、今後の機器の機能を確認するためにも傾向管理が有用と考えます。フェログラフィー【定量分析：Is値】Is値は異常摩耗の早期発見パラメータのつで、摩耗程度を定量化するために用います。今回のIs値は、の乗とやや高い値でした。フェログラフィー【定性分析：摩耗粒子および摩耗形態観察】分析結果から観察された代表的な粒子は、以下の通りでした。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。切削粒子・異物や金属表面の微小突起による切削摩耗により発生。黒錆・潤滑状態がやや厳しい凝着摩耗により発生。局部的に金属接触が厳しく、且つ、高い摩擦熱が発生していると考えられます。観察された摩耗粒子の中でも切削粒子、黒錆は、将来的な摩耗の進行に繋がる可能性を示唆しているため、傾向監視が必要と思われます。切削摩耗は、他の摩耗形態に比較して摩耗進行速度が速く注意が必要で、定期的なトライボ診断による状態監視が必要と考えます。切削摩耗の原因となる混入異物が残留している場合、この異物により切削摩耗が継続して発生する可能性があります。黒錆は、凝着摩耗に分類されます。この摩耗粒子は、油膜切れによる摺動面での金属同士の接触時に起こる高い摩擦熱によって鉄が酸化され発生します。この状態が継続した場合、摺動面で焼付が発生し、設備の損傷に至る場合があります。Iカップリング発光分光分析【SOAP-T】検出された金属元素から発生箇所を推定すると、以下の通りでした。鉄、鉛、銅、クロム、アンチモン、ニッケル、錫・エンジン部品リン、亜鉛、カルシウム・添加剤アルミニウム、ケイ素、ナトリウム、マグネシウム、モリブデン・外部混入異物クランクメタルの摩耗SOAP-Tで錫がppm、ニッケルが、銅が検出されたことから、クランクメタル表面に摩耗が発生していると推定されました。ディーゼルエンジンのクランクメタルは積層構造になっており、クランクメタルの最表面はホワイトメタル層が存在し、その下にニッケル層、さらにその下には銅と鉛の合金であるケルメット層が存在します。ディーゼルエンジンのメタルは、設計上、油膜が正常に形成される流体潤滑が基本であることから、通常の使用においては摩耗しにくいと思われますが、メタルの潤滑部に流体潤滑になりにくい部分が発生するとメタル表面の軟質金属部が摩耗しメタル部のすぐ下のニッケル部まで摩耗し始め、ホワイトメタル層の主成分である錫や鉛、そしてメタルの第二層のニッケルやバックメタルの銅が検出されます。今後、摩耗が進行した場合、軸受が焼付を起こす可能性があるため、注意が必要です。
報告No.109-09136 報告No.113-00039 ,分析No.109-001160 分析No.113-000106 ,113-000106,油の劣化は確認されていないものの、汚染度が高いことから、以下の対策を推奨します。軸受は継続使用可能な状態にあると判断します。但し、将来的な摩耗進行の有無を確認するためにも傾向監視を継続することが有効です。更油および油槽内の清掃潤滑油は、比較的高い濃度になっていることが分かりました。これらの汚染は、転がり軸受の摩耗によるものと推定され、油槽内はこれらの摩耗粒子などにより汚染されていると思われます。このまま使用を継続した場合、汚染粒子により摩耗が促進する可能性があるため、更油を推奨します。尚、更油をする際には、油槽内を清掃し、更油する新油もNAS級程度になるよう推奨します。定期的な分析定期的な分析を実施することにより、データの変化から異常の兆候を早期に発見することが可能となります。今後懸念される疲労摩耗の進行を監視するため、定期的に分析を実施することを推奨します。はフェログラフィーおよびSOAP-Tの結果から総合的に判断した結果、継続使用は可能ですが、今後の機器の機能を確認するためにも傾向管理が有用と考えます。フェログラフィー【定量分析：Is値】Is値は異常摩耗の早期発見パラメータのつで、摩耗程度を定量化するために用います。今回のIs値はの乗と高い値でした。フェログラフィー【定性分析：摩耗粒子および摩耗形態観察】分析結果から観察された代表的な摩耗粒子は、以下の通りでした。疲労摩耗粒子・繰返し応力を受けて発生。砂等・外部から混入したと考えられます。Iカップリング発光分光分析【SOAP-T】検出された金属元素から発生箇所を推定すると、以下の通りでした。鉄、鉛、銅、錫、亜鉛・軸受等リン、モリブデン・添加剤カルシウム、バリウム、アルミニウム、ケイ素、ナトリウム・外部混入異物計数汚染度はNAS級以上と当社推奨の管理限界値を超えていました。フィルタ表面の異物観察で粘ちょう物、金属片、樹脂、砂等、そして、炭素の微粒子が観察されたことから、汚染度が高い要因は、摩耗とスラッジ、そして外部混入異物の影響と思われます。粘度、水分、酸価、IRの各データは良好でした。
報告No.108-5071 報告No.113-00677 ,分析No.108-02721 分析No.113-002926 ,113-002926,潤滑油は継続使用可能な状態にあると判断します。増速機増速機は継続使用可能な状態にあると判断します。異常摩耗の早期発見のパラメータであるIs値は、レベルと正常です。また、異常摩耗の兆候を示す摩耗粒子が顕著に観察されなかったことから、は良好と判断します。疲労摩耗粒子が比較的多く観察されましたが、本設備は分解後稼動していないことから、更油前の油が残存しており、油中に含まれていた疲労摩耗粒子が観察された可能性が考えられます。バックラッシご提供いただいた図面情報と今回までの累計鉄濃度を基にバックラッシの増加量を計算しました。その結果、平均的に摩耗が発生していたと仮定した場合、バックラッシの増加量は以下の通りと推定されます。表バックラッシ増加量接触箇所 バックラッシ増加量上限値 バックラッシ増加量  内歯車-遊星歯車  約.  遊星歯車-太陽歯車  約.  ハスバ歯車 . 約.  ハスバ歯車  約.  バックラッシの初期値が不明であるため、増加量の上限値を適正なバックラッシの最大値と最小値の差としました。今回の推定されたバックラッシ増加量は上限値に比較して十分に小さい値であり、良好であると考えられます。但し、本設備にはμmサイズのインラインフィルタがついており、μm以上の摩耗粒子がフィルタに補足されてサンプリングできていない可能性があること、また、停止中の採油であるため濃度の偏析がある部分をサンプリングしている可能性があることから、計算結果は参考値としてお考え下さい。水分がppmと新油値ppmに比較してやや高い値でした。使用油であるAlphasynPGは、ポリグリコールベースの合成ギヤオイルであるため、水分を吸収しやすい特性があります。分析結果SOAP-T添加剤成分であるリンがppm、外部から混入したと思われるモリブデンがppm検出されました。SOAP-TFEが、錫が、亜鉛が、添加剤成分であるリンがppm、外部から混入したと思われるアルミニウムが、ナトリウムが検出されました。フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がレベルと良好の範囲にありました。粘度粘度はmm/sと新油値mm/sに比較して、粘度変化率は+％で、当社推奨の管理限界値である±％以内にあり、良好と判断します。泡立ち試験泡立ち試験は-であり、良好です。水分はppmと新油に比較して高い値でした。酸価は.mgKOH/gと新油値.mgKOH/gに比較して若干高いものの、IRの結果で油劣化の兆候を示すカルボン酸の吸収が確認されていないことから、良好と判断します。
報告No.109-09136 ,分析No.109-001160 ,113-002698,潤滑油は汚染度が高い値でした。～μmサイズの粒子数が多いことから潤滑油に添加されているモリブデンの影響で高い値となっている可能性が考えられますが、念のため汚染度の増加傾向を監視することが有効です。減速機減速機は継続使用可能な状態にあると判断します。但し、今後の摩耗推移を確認するためにも傾向監視を継続することが有効です。定期的な分析今後の切削摩耗、疲労摩耗の推移を監視するため、定期的な分析実施を推奨します。異常摩耗の早期発見のパラメータであるIs値はレベルと正常です。但し、潤滑部の摩耗が認められたため、定期的に潤滑油分析を実施し、摩耗推移を監視することが有用と考えます。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。切削粒子・異物や金属表面の微小突起による切削摩耗により発生。疲労摩耗粒子・繰返し応力による金属疲労で発生。大型化するとフレーキングやスポーリングの発生が懸念されます。切削粒子は、摩擦面が将来的に異常摩耗へ進展する可能性を示唆しているため、傾向監視が有用と思われます。詳細は、別紙傾向監視が必要な摩耗粒子をご覧ください。平歯車のバックラッシご提供いただいた減速機に関する情報から、平歯車の組み合わせの段変速機構であることが分かりました。この歯車の構成から接触点は合計で箇所となります。ギヤのバックラッシの増加量を求めました。その結果、接触点で平均的に摩耗が発生していたと仮定した場合、バックラッシの増加量は分解点検から時間で.μmと推定されました。バックラッシ増加量の上限値は、歯車の情報から約.μmと推定され、この値に比較して十分に小さい値でした。ウォームギヤの摩耗量ご提供いただいた油量とウォームホイールの仕様から、ウォームホイール歯面の平均的な摩耗深さを銅濃度から計算した結果、分解点検から時間で.μmと推定されました。この値はウォームホイールの枚の歯面のピッチ円周にmm幅で均等に摩耗したことを想定して求めていますが、摩耗深さは、すなわちギヤのバックラッシの増量を示すこととなり、メーカが規定するバックラッシ許容値と照合することでウォーム減速機のメンテナンス時期を検討する材料にもできます。水分は良好です。計数汚染度計数汚染度はNAS級と当社推奨の管理限界値に到達していました。～μmサイズの粒子数が多いことから潤滑油に添加されているモリブデンの影響で高い値となっている可能性が考えられますが、念のため汚染度の増加傾向を監視することが有効です。潤滑油の劣化状態粘度、酸価、IRの各データは良好です。
,,112-001768,対象設備は継続使用可能な状態にあり、保守サイクルおよび手法は問題ないと判断します。但し、潤滑油は粘度が低下し、今後も摩耗の進行を傾向監視するため、以下の対策を推奨します。更油粘度低下が確認されており、潤滑部で油膜切れなどによる摩耗の発生が懸念されます。これらの予防処置として更油を推奨します。油槽内の清掃潤滑油が汚染されていることから、油槽内は汚染されていると思われます。可能であれば、油槽内を低粘度油などで一旦清掃してから、その後、新油を充填することを推奨します。定期的な分析定期的に分析を実施することにより、データの変化から異常の兆候を早期に発見することが可能となります。今回初回分析であるため、あと最低でも回分析を実施することにより、分析データの変化を確認し、分析周期を検討することを推奨します。はフェログラフィーおよびSOAP-Tの結果から総合的に判断した結果、やや厳しい状態にあると考えられます。フェログラフィー【定量分析：Is値】Is値は異常摩耗の早期発見パラメータのつで、摩耗粒子を定量化するために用います。今回のIs値はの乗とやや高い値でした。フェログラフィー【定性分析：摩耗粒子および摩耗形態観察】分析結果から比較的多く観察された粒子は、以下の通りでした。正常な摩耗粒子・潤滑状態が正常なマイルド摩耗により発生。フリクションポリマ・局部的に高圧・高温となる場合に発生。観察された摩耗粒子の中でもフリクションポリマは、注意が必要です。フリクションポリマは、潤滑油が摺動面、ギヤ歯面や軌道面に押し込められ高圧状態になると同時に、圧縮熱により高温状態になった結果、基油自身が重合反応を起こし生成することが知られています。そのため、高圧高温状態の解消がなされなければ、潤滑油の劣化が進行し、粘度上昇に因る潤滑異常に進展する場合があります。Iカップリング発光分光分析【SOAP-T】検出された金属元素から発生箇所を推定すると、以下の通りでした。鉄・エンジン部品ニッケル、リン、亜鉛、カルシウム、ナトリウム、ホウ素、モリブデン・添加剤マグネシウム・外部混入異物計数汚染度は当社推奨の管理限界値に到達し、重量汚染度は当社推奨の管理限界値を超えていました。計数汚染度計数汚染度は、NAS級と当社推奨の管理限界値のNAS級に到達していました。重量汚染度は、mg/mlと当社推奨の管理限界値のmg/mlを超えていました。光学顕微鏡写真重量汚染度で濾過したフィルタ表面上の夾雑物を光学顕微鏡で観察した結果、鉄錆、砂等が観察されました。粒度分布粒度分布は、.～μmの範囲にあり、.μmにピークが確認されました。μm以下の粒子が多いことから、燃焼して発生したすす等であることが分かります。水分は、と当社推奨の管理限界値の以下にあり、良好でした。粘度は当社推奨の管理限界値を超えていました。粘度粘度は、mm/sと新油値mm/sに比較して、粘度変化率は-.％で、当社推奨の管理限界値である±％を超えていました。粘度低下の要因のひとつとなる異種油の混入や劣化がIRで確認できなかったことから、今回の粘度低下は、潤滑油の分子がせん断作用を受けて低下したことなどが考えられます。酸価は、mgKOH/gと新油値mgKOH/g以下にあることから、良好と判断します。塩基価は、.mgKOH/gと当社推奨の管理限界値であるmgKOH/g以上あり、良好と判断します。IRIRチャートの結果、新油と使用油のスペクトルパターンはほぼ一致し、また、油劣化の兆候を示すカルボン酸の吸収が確認されていないことから、良好と判断します。
